geo,year,age,sex,indicator,value_n,flag,file
NL,2019,Y15-64,T,INACTPT_CARERESP_ONPOP,10.033953037,"",lfse_inactpt_lackcare
PL,2019,Y15-64,T,INACTPT_CARERESP_ONPOP,1.9002273189,"",lfse_inactpt_lackcare
PT,2019,Y15-64,T,INACTPT_CARERESP_ONPOP,0.5893938509,"",lfse_inactpt_lackcare
RO,2019,Y15-64,T,INACTPT_CARERESP_ONPOP,0.1116829658,"",lfse_inactpt_lackcare
SE,2019,Y15-64,T,INACTPT_CARERESP_ONPOP,2.4635821446,"",lfse_inactpt_lackcare
SI,2019,Y15-64,T,INACTPT_CARERESP_ONPOP,0.9590141711,"",lfse_inactpt_lackcare
SK,2019,Y15-64,T,INACTPT_CARERESP_ONPOP,0.7420149492,"",lfse_inactpt_lackcare
AT,2018,Y15-64,T,INACTPT_CARERESP_ONPOP,6.6774215898,"",lfse_inactpt_lackcare
BE,2018,Y15-64,T,INACTPT_CARERESP_ONPOP,3.5488618866,"",lfse_inactpt_lackcare
BG,2018,Y15-64,T,INACTPT_CARERESP_ONPOP,0.133488073,b,lfse_inactpt_lackcare
CY,2018,Y15-64,T,INACTPT_CARERESP_ONPOP,1.0066467908,"",lfse_inactpt_lackcare
CZ,2018,Y15-64,T,INACTPT_CARERESP_ONPOP,1.3562100097,"",lfse_inactpt_lackcare
DE,2018,Y15-64,T,INACTPT_CARERESP_ONPOP,5.6602204664,"",lfse_inactpt_lackcare
DK,2018,Y15-64,T,INACTPT_CARERESP_ONPOP,0.5469685145,"",lfse_inactpt_lackcare
EE,2018,Y15-64,T,INACTPT_CARERESP_ONPOP,1.8071824234,"",lfse_inactpt_lackcare
EL,2018,Y15-64,T,INACTPT_CARERESP_ONPOP,0.6586967327,"",lfse_inactpt_lackcare
ES,2018,Y15-64,T,INACTPT_CARERESP_ONPOP,1.69876102,"",lfse_inactpt_lackcare
EU27_2020,2018,Y15-64,T,INACTPT_CARERESP_ONPOP,3.0326503464,"",lfse_inactpt_lackcare
EA20,2018,Y15-64,T,INACTPT_CARERESP_ONPOP,3.5550619354,"",lfse_inactpt_lackcare
FI,2018,Y15-64,T,INACTPT_CARERESP_ONPOP,1.0403956311,"",lfse_inactpt_lackcare
FR,2018,Y15-64,T,INACTPT_CARERESP_ONPOP,2.8577305079,"",lfse_inactpt_lackcare
HR,2018,Y15-64,T,INACTPT_CARERESP_ONPOP,0.8302958075,"",lfse_inactpt_lackcare
HU,2018,Y15-64,T,INACTPT_CARERESP_ONPOP,1.0692098085,"",lfse_inactpt_lackcare
IE,2018,Y15-64,T,INACTPT_CARERESP_ONPOP,4.4078735474,"",lfse_inactpt_lackcare
IT,2018,Y15-64,T,INACTPT_CARERESP_ONPOP,2.6595937518,"",lfse_inactpt_lackcare
